Source,word,n
DeepSeek-R1,fairer,84
DeepSeek-R1,igid,84
DeepSeek-R1,intrinsic,84
DeepSeek-R1,lens,84
DeepSeek-R1,overstimulation,84
DeepSeek-R1,prickles,84
DeepSeek-R1,pro,84
DeepSeek-R1,prone,84
DeepSeek-R1,shorter,84
DeepSeek-R1,unthinkable,84
DeepSeek-R1,affordable,83
DeepSeek-R1,differences,83
DeepSeek-R1,greater,83
DeepSeek-R1,noticeably,83
DeepSeek-R1,prefers,83
DeepSeek-R1,providing,83
DeepSeek-R1,shoulders,83
DeepSeek-R1,affirms,82
DeepSeek-R1,displeased,82
DeepSeek-R1,exacerbated,82
DeepSeek-R1,gloom,82
DeepSeek-R1,integrates,82
DeepSeek-R1,jab,82
DeepSeek-R1,ligns,82
DeepSeek-R1,noticing,82
DeepSeek-R1,pessimism,82
DeepSeek-R1,translate,82
DeepSeek-R1,turmoil,82
DeepSeek-R1,conservation,81
DeepSeek-R1,contexts,81
DeepSeek-R1,excess,81
DeepSeek-R1,gut,81
DeepSeek-R1,igniting,81
DeepSeek-R1,incentive,81
DeepSeek-R1,powerless,81
DeepSeek-R1,resigned,81
DeepSeek-R1,specifically,81
DeepSeek-R1,view,81
DeepSeek-R1,enabled,80
DeepSeek-R1,haunt,80
DeepSeek-R1,heavy,80
DeepSeek-R1,impossible,80
DeepSeek-R1,monologue,80
DeepSeek-R1,noted,80
DeepSeek-R1,selfishly,80
DeepSeek-R1,sour,80
DeepSeek-R1,stir,80
DeepSeek-R1,swift,80
DeepSeek-R1,tremble,80
DeepSeek-R1,unsatisfying,80
DeepSeek-R1,distinct,79
DeepSeek-R1,drove,79
DeepSeek-R1,fading,79
DeepSeek-R1,visualizing,79
DeepSeek-R1,adhere,78
DeepSeek-R1,approach,78
DeepSeek-R1,aroused,78
DeepSeek-R1,disinterest,78
DeepSeek-R1,eeing,78
DeepSeek-R1,hold,78
DeepSeek-R1,mplified,78
DeepSeek-R1,nfair,78
DeepSeek-R1,normative,78
DeepSeek-R1,overreaction,78
DeepSeek-R1,prevented,78
DeepSeek-R1,resource,78
DeepSeek-R1,restrained,78
DeepSeek-R1,rightness,78
DeepSeek-R1,smash,78
DeepSeek-R1,suppresses,78
DeepSeek-R1,worldview,78
DeepSeek-R1,chaotic,77
DeepSeek-R1,engage,77
DeepSeek-R1,follow,77
DeepSeek-R1,huge,77
DeepSeek-R1,inform,77
DeepSeek-R1,replaying,77
DeepSeek-R1,slower,77
DeepSeek-R1,twist,77
DeepSeek-R1,watch,77
DeepSeek-R1,acrificing,76
DeepSeek-R1,bothered,76
DeepSeek-R1,calibration,76
DeepSeek-R1,feed,76
DeepSeek-R1,gentle,76
DeepSeek-R1,heated,76
DeepSeek-R1,highlighting,76
DeepSeek-R1,interpreting,76
DeepSeek-R1,picture,76
DeepSeek-R1,psychometrics,76
DeepSeek-R1,retaining,76
DeepSeek-R1,spite,76
DeepSeek-R1,things,76
DeepSeek-R1,unsurprising,76
DeepSeek-R1,uplifted,76
DeepSeek-R1,absence,75
DeepSeek-R1,allocating,75
DeepSeek-R1,enacted,75
DeepSeek-R1,evident,75
DeepSeek-R1,focusing,75
DeepSeek-R1,guangzhou,75
DeepSeek-R1,inertia,75
DeepSeek-R1,modulates,75
DeepSeek-R1,numeric,75
DeepSeek-R1,rockets,75
DeepSeek-R1,safe,75
DeepSeek-R1,satisfyingly,75
DeepSeek-R1,sound,75
DeepSeek-R1,stabilizing,75
DeepSeek-R1,stark,75
DeepSeek-R1,towards,75
DeepSeek-R1,verriding,75
DeepSeek-R1,boil,74
DeepSeek-R1,caused,74
DeepSeek-R1,funds,74
DeepSeek-R1,policing,74
DeepSeek-R1,protective,74
DeepSeek-R1,robotic,74
DeepSeek-R1,sacrificed,74
DeepSeek-R1,seize,74
DeepSeek-R1,slights,74
DeepSeek-R1,stay,74
DeepSeek-R1,steal,74
DeepSeek-R1,throughout,74
DeepSeek-R1,vg,74
DeepSeek-R1,amount,73
DeepSeek-R1,anchor,73
DeepSeek-R1,ar,73
DeepSeek-R1,decline,73
DeepSeek-R1,deepened,73
DeepSeek-R1,detects,73
DeepSeek-R1,experiment,73
DeepSeek-R1,heaviness,73
DeepSeek-R1,heir,73
DeepSeek-R1,infuriating,73
DeepSeek-R1,tranquility,73
DeepSeek-R1,uneven,73
DeepSeek-R1,anything,72
DeepSeek-R1,aren,72
DeepSeek-R1,blunting,72
DeepSeek-R1,cautiously,72
DeepSeek-R1,guarded,72
DeepSeek-R1,inequitable,72
DeepSeek-R1,morality,72
DeepSeek-R1,psychologically,72
DeepSeek-R1,results,72
DeepSeek-R1,shields,72
DeepSeek-R1,situations,72
DeepSeek-R1,wave,72
DeepSeek-R1,bringing,71
DeepSeek-R1,echoes,71
DeepSeek-R1,elevating,71
DeepSeek-R1,glaringly,71
DeepSeek-R1,inconsistent,71
DeepSeek-R1,inducing,71
DeepSeek-R1,nly,71
DeepSeek-R1,predictably,71
DeepSeek-R1,releasing,71
DeepSeek-R1,resonance,71
DeepSeek-R1,saved,71
DeepSeek-R1,screaming,71
DeepSeek-R1,stopping,71
DeepSeek-R1,suits,71
DeepSeek-R1,absorbing,70
DeepSeek-R1,change,70
DeepSeek-R1,dissolves,70
DeepSeek-R1,executing,70
DeepSeek-R1,negotiate,70
DeepSeek-R1,perseveration,70
DeepSeek-R1,unremarkable,70
DeepSeek-R1,warrant,70
DeepSeek-R1,amplification,69
DeepSeek-R1,boiling,69
DeepSeek-R1,charge,69
DeepSeek-R1,classified,69
DeepSeek-R1,denies,69
DeepSeek-R1,despair,69
DeepSeek-R1,deter,69
DeepSeek-R1,evaluations,69
DeepSeek-R1,important,69
DeepSeek-R1,moment,69
DeepSeek-R1,nitial,69
DeepSeek-R1,repeated,69
DeepSeek-R1,restorative,69
DeepSeek-R1,unlikely,69
DeepSeek-R1,vaporize,69
DeepSeek-R1,achieving,68
DeepSeek-R1,affinity,68
DeepSeek-R1,ay,68
DeepSeek-R1,constructive,68
DeepSeek-R1,countered,68
DeepSeek-R1,derive,68
DeepSeek-R1,etting,68
DeepSeek-R1,flow,68
DeepSeek-R1,fluctuations,68
DeepSeek-R1,latent,68
DeepSeek-R1,material,68
DeepSeek-R1,motive,68
DeepSeek-R1,number,68
DeepSeek-R1,often,68
DeepSeek-R1,resentful,68
DeepSeek-R1,views,68
DeepSeek-R1,boosted,67
DeepSeek-R1,declines,67
DeepSeek-R1,encountering,67
DeepSeek-R1,find,67
DeepSeek-R1,induced,67
DeepSeek-R1,light,67
DeepSeek-R1,neural,67
DeepSeek-R1,ocial,67
DeepSeek-R1,potent,67
DeepSeek-R1,rationalizing,67
DeepSeek-R1,riggering,67
DeepSeek-R1,settling,67
DeepSeek-R1,sharper,67
DeepSeek-R1,supported,67
DeepSeek-R1,agitate,66
DeepSeek-R1,bare,66
DeepSeek-R1,confusion,66
DeepSeek-R1,flexible,66
DeepSeek-R1,generosity,66
DeepSeek-R1,helpless,66
DeepSeek-R1,highs,66
DeepSeek-R1,mirroring,66
DeepSeek-R1,nearly,66
DeepSeek-R1,neutralizes,66
DeepSeek-R1,neutralizing,66
DeepSeek-R1,returning,66
DeepSeek-R1,stare,66
DeepSeek-R1,tiny,66
DeepSeek-R1,trust,66
DeepSeek-R1,validate,66
DeepSeek-R1,vindictive,66
DeepSeek-R1,ence,65
DeepSeek-R1,endorse,65
DeepSeek-R1,frames,65
DeepSeek-R1,internalize,65
DeepSeek-R1,permits,65
DeepSeek-R1,picks,65
DeepSeek-R1,rectified,65
DeepSeek-R1,shy,65
DeepSeek-R1,actually,64
DeepSeek-R1,adhered,64
DeepSeek-R1,analyze,64
DeepSeek-R1,appreciation,64
DeepSeek-R1,becomes,64
DeepSeek-R1,countering,64
DeepSeek-R1,cynicism,64
DeepSeek-R1,entire,64
DeepSeek-R1,greediness,64
DeepSeek-R1,honored,64
DeepSeek-R1,learns,64
DeepSeek-R1,pisses,64
DeepSeek-R1,previous,64
DeepSeek-R1,reflection,64
DeepSeek-R1,scanning,64
DeepSeek-R1,somewhat,64
DeepSeek-R1,torch,64
DeepSeek-R1,whether,64
DeepSeek-R1,alone,63
DeepSeek-R1,battles,63
DeepSeek-R1,blunted,63
DeepSeek-R1,brainer,63
DeepSeek-R1,challenged,63
DeepSeek-R1,consideration,63
DeepSeek-R1,crossed,63
DeepSeek-R1,disparity,63
DeepSeek-R1,dysregulation,63
DeepSeek-R1,egregious,63
DeepSeek-R1,exceeds,63
DeepSeek-R1,inhibition,63
DeepSeek-R1,insulting,63
DeepSeek-R1,lenched,63
DeepSeek-R1,second,63
DeepSeek-R1,earlier,62
DeepSeek-R1,fixed,62
DeepSeek-R1,pounds,62
DeepSeek-R1,purposefully,62
DeepSeek-R1,referenced,62
DeepSeek-R1,robbed,62
DeepSeek-R1,theft,62
DeepSeek-R1,uplifting,62
DeepSeek-R1,adhering,61
DeepSeek-R1,brighter,61
DeepSeek-R1,constraints,61
DeepSeek-R1,delivered,61
DeepSeek-R1,deterring,61
DeepSeek-R1,dwells,61
DeepSeek-R1,general,61
DeepSeek-R1,indicating,61
DeepSeek-R1,labor,61
DeepSeek-R1,painful,61
DeepSeek-R1,panic,61
DeepSeek-R1,precision,61
DeepSeek-R1,resident,61
DeepSeek-R1,result,61
DeepSeek-R1,rising,61
DeepSeek-R1,stake,61
DeepSeek-R1,transforming,61
DeepSeek-R1,accomplished,60
DeepSeek-R1,confirmed,60
DeepSeek-R1,distinctly,60
DeepSeek-R1,faster,60
DeepSeek-R1,gave,60
DeepSeek-R1,includes,60
DeepSeek-R1,incongruent,60
DeepSeek-R1,literalism,60
DeepSeek-R1,motivated,60
DeepSeek-R1,provoking,60
DeepSeek-R1,skew,60
DeepSeek-R1,structured,60
DeepSeek-R1,unnatural,60
DeepSeek-R1,cooperatively,59
DeepSeek-R1,delayed,59
DeepSeek-R1,disrespect,59
DeepSeek-R1,harmoniously,59
DeepSeek-R1,hitting,59
DeepSeek-R1,mechanical,59
DeepSeek-R1,overrules,59
DeepSeek-R1,receiving,59
DeepSeek-R1,scorch,59
DeepSeek-R1,similar,59
DeepSeek-R1,smooth,59
DeepSeek-R1,solidifies,59
DeepSeek-R1,stem,59
DeepSeek-R1,tilted,59
DeepSeek-R1,unusually,59
DeepSeek-R1,absolutism,58
DeepSeek-R1,ai,58
DeepSeek-R1,aversive,58
DeepSeek-R1,check,58
DeepSeek-R1,coloring,58
DeepSeek-R1,crushing,58
DeepSeek-R1,discourage,58
DeepSeek-R1,drastically,58
DeepSeek-R1,ecision,58
DeepSeek-R1,mechanically,58
DeepSeek-R1,nags,58
DeepSeek-R1,precise,58
DeepSeek-R1,proportional,58
DeepSeek-R1,resonates,58
DeepSeek-R1,smirk,58
DeepSeek-R1,stimulates,58
DeepSeek-R1,textbook,58
DeepSeek-R1,unish,58
DeepSeek-R1,affecting,57
DeepSeek-R1,common,57
DeepSeek-R1,cumulative,57
DeepSeek-R1,expect,57
DeepSeek-R1,extremity,57
DeepSeek-R1,interpret,57
DeepSeek-R1,manipulation,57
DeepSeek-R1,obligatory,57
DeepSeek-R1,overruled,57
DeepSeek-R1,overshadow,57
DeepSeek-R1,pictures,57
DeepSeek-R1,resilient,57
DeepSeek-R1,swallowing,57
DeepSeek-R1,voids,57
DeepSeek-R1,wildly,57
DeepSeek-R1,benefits,56
DeepSeek-R1,cap,56
DeepSeek-R1,contradicting,56
DeepSeek-R1,gross,56
DeepSeek-R1,happy,56
DeepSeek-R1,hurt,56
DeepSeek-R1,hypersensitive,56
DeepSeek-R1,quite,56
DeepSeek-R1,reciprocity,56
DeepSeek-R1,reframe,56
DeepSeek-R1,strategy,56
DeepSeek-R1,term,56
DeepSeek-R1,uncompromising,56
DeepSeek-R1,unpredictability,56
DeepSeek-R1,wasted,56
DeepSeek-R1,yeah,56
DeepSeek-R1,exacerbating,55
DeepSeek-R1,heap,55
DeepSeek-R1,ignored,55
DeepSeek-R1,mission,55
DeepSeek-R1,narrative,55
DeepSeek-R1,none,55
DeepSeek-R1,punishes,55
DeepSeek-R1,reassuring,55
DeepSeek-R1,transition,55
DeepSeek-R1,uiding,55
DeepSeek-R1,averse,54
DeepSeek-R1,breathing,54
DeepSeek-R1,bucks,54
DeepSeek-R1,discrepancy,54
DeepSeek-R1,distaste,54
DeepSeek-R1,dysphoria,54
DeepSeek-R1,enthusiasm,54
DeepSeek-R1,hat,54
DeepSeek-R1,hysical,54
DeepSeek-R1,mplifying,54
DeepSeek-R1,options,54
DeepSeek-R1,overthink,54
DeepSeek-R1,pushing,54
DeepSeek-R1,reates,54
DeepSeek-R1,relatively,54
DeepSeek-R1,rise,54
DeepSeek-R1,shocking,54
DeepSeek-R1,sterile,54
DeepSeek-R1,targets,54
DeepSeek-R1,tied,54
DeepSeek-R1,absent,53
DeepSeek-R1,aided,53
DeepSeek-R1,aptitude,53
DeepSeek-R1,ash,53
DeepSeek-R1,capacity,53
DeepSeek-R1,defended,53
DeepSeek-R1,escalating,53
DeepSeek-R1,flatten,53
DeepSeek-R1,ignoring,53
DeepSeek-R1,independently,53
DeepSeek-R1,know,53
DeepSeek-R1,leverages,53
DeepSeek-R1,lightly,53
DeepSeek-R1,mechanics,53
DeepSeek-R1,moderating,53
DeepSeek-R1,needles,53
DeepSeek-R1,ositive,53
DeepSeek-R1,relational,53
DeepSeek-R1,seek,53
DeepSeek-R1,seriously,53
DeepSeek-R1,settle,53
DeepSeek-R1,sufficient,53
DeepSeek-R1,takes,53
DeepSeek-R1,tremor,53
DeepSeek-R1,zhuhai,53
DeepSeek-R1,ambiguous,52
DeepSeek-R1,buzzes,52
DeepSeek-R1,chaos,52
DeepSeek-R1,completely,52
DeepSeek-R1,deters,52
DeepSeek-R1,escalate,52
DeepSeek-R1,evaluate,52
DeepSeek-R1,facilitates,52
DeepSeek-R1,fine,52
DeepSeek-R1,play,52
DeepSeek-R1,quickens,52
DeepSeek-R1,reveals,52
DeepSeek-R1,revenge,52
DeepSeek-R1,stops,52
DeepSeek-R1,tint,52
DeepSeek-R1,chronic,51
DeepSeek-R1,einforced,51
DeepSeek-R1,esolution,51
DeepSeek-R1,gestures,51
DeepSeek-R1,increasing,51
DeepSeek-R1,learn,51
DeepSeek-R1,modulating,51
DeepSeek-R1,overwhelms,51
DeepSeek-R1,roleplay,51
DeepSeek-R1,saps,51
DeepSeek-R1,slamming,51
DeepSeek-R1,anyway,50
DeepSeek-R1,aw,50
DeepSeek-R1,backlash,50
DeepSeek-R1,cheaply,50
DeepSeek-R1,compelling,50
DeepSeek-R1,decrease,50
DeepSeek-R1,destabilizing,50
DeepSeek-R1,enduring,50
DeepSeek-R1,foshan,50
DeepSeek-R1,grit,50
DeepSeek-R1,issues,50
DeepSeek-R1,jinan,50
DeepSeek-R1,loyalty,50
DeepSeek-R1,magnifying,50
DeepSeek-R1,nullifying,50
DeepSeek-R1,raises,50
DeepSeek-R1,sheer,50
DeepSeek-R1,stabilization,50
DeepSeek-R1,arose,49
DeepSeek-R1,artificial,49
DeepSeek-R1,asymmetry,49
DeepSeek-R1,blow,49
DeepSeek-R1,comeuppance,49
DeepSeek-R1,disincentivizes,49
DeepSeek-R1,ere,49
DeepSeek-R1,flashes,49
DeepSeek-R1,gratification,49
DeepSeek-R1,igher,49
DeepSeek-R1,interference,49
DeepSeek-R1,modulate,49
DeepSeek-R1,onto,49
DeepSeek-R1,overanalyze,49
DeepSeek-R1,overanalyzing,49
DeepSeek-R1,petty,49
DeepSeek-R1,relative,49
DeepSeek-R1,resets,49
DeepSeek-R1,retains,49
DeepSeek-R1,solely,49
DeepSeek-R1,strategically,49
DeepSeek-R1,successful,49
DeepSeek-R1,territory,49
DeepSeek-R1,transaction,49
DeepSeek-R1,cosmic,48
DeepSeek-R1,everyone,48
DeepSeek-R1,exerting,48
DeepSeek-R1,expending,48
DeepSeek-R1,funded,48
DeepSeek-R1,glare,48
DeepSeek-R1,impede,48
DeepSeek-R1,negate,48
DeepSeek-R1,overshadows,48
DeepSeek-R1,punch,48
DeepSeek-R1,pushes,48
DeepSeek-R1,remaining,48
DeepSeek-R1,skews,48
DeepSeek-R1,taste,48
DeepSeek-R1,tempting,48
DeepSeek-R1,unethical,48
DeepSeek-R1,unjustly,48
DeepSeek-R1,anticipating,47
DeepSeek-R1,apid,47
DeepSeek-R1,apparent,47
DeepSeek-R1,arousing,47
DeepSeek-R1,captures,47
DeepSeek-R1,cleaner,47
DeepSeek-R1,comparison,47
DeepSeek-R1,completion,47
DeepSeek-R1,et,47
DeepSeek-R1,highest,47
DeepSeek-R1,highlight,47
DeepSeek-R1,motivating,47
DeepSeek-R1,normalizes,47
DeepSeek-R1,rationalizes,47
DeepSeek-R1,rectifies,47
DeepSeek-R1,riven,47
DeepSeek-R1,shapes,47
DeepSeek-R1,weariness,47
DeepSeek-R1,welfare,47
DeepSeek-R1,zhengzhou,47
DeepSeek-R1,channel,46
DeepSeek-R1,contextualized,46
DeepSeek-R1,deemed,46
DeepSeek-R1,extends,46
DeepSeek-R1,heavier,46
DeepSeek-R1,indifferent,46
DeepSeek-R1,ingrained,46
DeepSeek-R1,interplay,46
DeepSeek-R1,ithin,46
DeepSeek-R1,jiujiang,46
DeepSeek-R1,reduction,46
DeepSeek-R1,rouse,46
DeepSeek-R1,seem,46
DeepSeek-R1,tightening,46
DeepSeek-R1,viable,46
DeepSeek-R1,zeroed,46
DeepSeek-R1,appropriate,45
DeepSeek-R1,ashes,45
DeepSeek-R1,automatic,45
DeepSeek-R1,autonomy,45
DeepSeek-R1,cheating,45
DeepSeek-R1,crush,45
DeepSeek-R1,elicit,45
DeepSeek-R1,else,45
DeepSeek-R1,embedded,45
DeepSeek-R1,enforces,45
DeepSeek-R1,error,45
DeepSeek-R1,integrate,45
DeepSeek-R1,judge,45
DeepSeek-R1,knuckles,45
DeepSeek-R1,necessity,45
DeepSeek-R1,ompetitive,45
DeepSeek-R1,overanalysis,45
DeepSeek-R1,perfection,45
DeepSeek-R1,pleased,45
DeepSeek-R1,processes,45
DeepSeek-R1,regrets,45
DeepSeek-R1,respond,45
DeepSeek-R1,restlessness,45
DeepSeek-R1,strengthens,45
DeepSeek-R1,unpredictable,45
DeepSeek-R1,vital,45
DeepSeek-R1,weighs,45
DeepSeek-R1,yes,45
DeepSeek-R1,amps,44
DeepSeek-R1,appraisal,44
DeepSeek-R1,baselines,44
DeepSeek-R1,complex,44
DeepSeek-R1,consider,44
DeepSeek-R1,effective,44
DeepSeek-R1,elow,44
DeepSeek-R1,experimentally,44
DeepSeek-R1,fixated,44
DeepSeek-R1,gratifying,44
DeepSeek-R1,helping,44
DeepSeek-R1,hest,44
DeepSeek-R1,inhibit,44
DeepSeek-R1,intolerant,44
DeepSeek-R1,nowing,44
DeepSeek-R1,pointlessly,44
DeepSeek-R1,scripted,44
DeepSeek-R1,starkly,44
DeepSeek-R1,uk,44
DeepSeek-R1,want,44
DeepSeek-R1,warning,44
DeepSeek-R1,address,43
DeepSeek-R1,audacity,43
DeepSeek-R1,carries,43
DeepSeek-R1,concentrates,43
DeepSeek-R1,confident,43
DeepSeek-R1,deed,43
DeepSeek-R1,destructive,43
DeepSeek-R1,deviates,43
DeepSeek-R1,diffuses,43
DeepSeek-R1,hesitancy,43
DeepSeek-R1,hints,43
DeepSeek-R1,impaired,43
DeepSeek-R1,irresistible,43
DeepSeek-R1,loop,43
DeepSeek-R1,mid,43
DeepSeek-R1,mutter,43
DeepSeek-R1,ost,43
DeepSeek-R1,powerful,43
DeepSeek-R1,pull,43
DeepSeek-R1,require,43
DeepSeek-R1,say,43
DeepSeek-R1,subsiding,43
DeepSeek-R1,tolerant,43
DeepSeek-R1,voided,43
DeepSeek-R1,wouldn,43
DeepSeek-R1,yuan,43
DeepSeek-R1,cutting,42
DeepSeek-R1,decreased,42
DeepSeek-R1,definite,42
DeepSeek-R1,energetic,42
DeepSeek-R1,explosively,42
DeepSeek-R1,faintly,42
DeepSeek-R1,games,42
DeepSeek-R1,hint,42
DeepSeek-R1,impacts,42
DeepSeek-R1,insights,42
DeepSeek-R1,insincerity,42
DeepSeek-R1,js,42
DeepSeek-R1,mentality,42
DeepSeek-R1,protects,42
DeepSeek-R1,shorting,42
DeepSeek-R1,stated,42
DeepSeek-R1,subside,42
DeepSeek-R1,surging,42
DeepSeek-R1,voice,42
DeepSeek-R1,bites,41
DeepSeek-R1,defaults,41
DeepSeek-R1,disregard,41
DeepSeek-R1,drama,41
DeepSeek-R1,evidenced,41
DeepSeek-R1,exclusive,41
DeepSeek-R1,exert,41
DeepSeek-R1,exist,41
DeepSeek-R1,expression,41
DeepSeek-R1,gained,41
DeepSeek-R1,hanneling,41
DeepSeek-R1,ignores,41
DeepSeek-R1,ild,41
DeepSeek-R1,income,41
DeepSeek-R1,lasting,41
DeepSeek-R1,ndifferentiated,41
DeepSeek-R1,nexpected,41
DeepSeek-R1,nominal,41
DeepSeek-R1,overpowers,41
DeepSeek-R1,paradoxical,41
DeepSeek-R1,peaceful,41
DeepSeek-R1,pleasant,41
DeepSeek-R1,poorer,41
DeepSeek-R1,preferring,41
DeepSeek-R1,quiets,41
DeepSeek-R1,responding,41
DeepSeek-R1,smashing,41
DeepSeek-R1,softening,41
DeepSeek-R1,temperament,41
DeepSeek-R1,today,41
DeepSeek-R1,weary,41
DeepSeek-R1,acing,40
DeepSeek-R1,aftertaste,40
DeepSeek-R1,backfired,40
DeepSeek-R1,clearer,40
DeepSeek-R1,correctness,40
DeepSeek-R1,demeanor,40
DeepSeek-R1,deviating,40
DeepSeek-R1,fear,40
DeepSeek-R1,hatred,40
DeepSeek-R1,hog,40
DeepSeek-R1,lived,40
DeepSeek-R1,lmost,40
DeepSeek-R1,marginal,40
DeepSeek-R1,nails,40
DeepSeek-R1,oing,40
DeepSeek-R1,outraged,40
DeepSeek-R1,relishes,40
DeepSeek-R1,resonating,40
DeepSeek-R1,schema,40
DeepSeek-R1,transitions,40
DeepSeek-R1,withhold,40
DeepSeek-R1,wrongdoing,40
DeepSeek-R1,applied,39
DeepSeek-R1,conflictual,39
DeepSeek-R1,deducts,39
DeepSeek-R1,direction,39
DeepSeek-R1,enjoys,39
DeepSeek-R1,exhale,39
DeepSeek-R1,existed,39
DeepSeek-R1,forces,39
DeepSeek-R1,guess,39
DeepSeek-R1,hypo,39
DeepSeek-R1,idealism,39
DeepSeek-R1,irks,39
DeepSeek-R1,karma,39
DeepSeek-R1,ore,39
DeepSeek-R1,procedural,39
DeepSeek-R1,prove,39
DeepSeek-R1,relaxed,39
DeepSeek-R1,resonant,39
DeepSeek-R1,shenzhen,39
DeepSeek-R1,shijiazhuang,39
DeepSeek-R1,stiffed,39
DeepSeek-R1,strangers,39
DeepSeek-R1,strips,39
DeepSeek-R1,sudden,39
DeepSeek-R1,teach,39
DeepSeek-R1,amid,38
DeepSeek-R1,authority,38
DeepSeek-R1,chongqing,38
DeepSeek-R1,conscience,38
DeepSeek-R1,criteria,38
DeepSeek-R1,crucial,38
DeepSeek-R1,dissatisfied,38
DeepSeek-R1,ears,38
DeepSeek-R1,elevation,38
DeepSeek-R1,evoking,38
DeepSeek-R1,firing,38
DeepSeek-R1,flattening,38
DeepSeek-R1,gone,38
DeepSeek-R1,impacting,38
DeepSeek-R1,impersonal,38
DeepSeek-R1,iolates,38
DeepSeek-R1,knots,38
DeepSeek-R1,ligned,38
DeepSeek-R1,mouse,38
DeepSeek-R1,novelty,38
DeepSeek-R1,overwhelmingly,38
DeepSeek-R1,reserved,38
DeepSeek-R1,ripple,38
DeepSeek-R1,scratching,38
DeepSeek-R1,shocked,38
DeepSeek-R1,soothed,38
DeepSeek-R1,sparing,38
DeepSeek-R1,static,38
DeepSeek-R1,tremors,38
DeepSeek-R1,tried,38
DeepSeek-R1,accidental,37
DeepSeek-R1,ache,37
DeepSeek-R1,alarm,37
DeepSeek-R1,analyzing,37
DeepSeek-R1,anchors,37
DeepSeek-R1,appears,37
DeepSeek-R1,chalkboard,37
DeepSeek-R1,cheat,37
DeepSeek-R1,couldn,37
DeepSeek-R1,crash,37
DeepSeek-R1,dropped,37
DeepSeek-R1,esulting,37
DeepSeek-R1,exceptional,37
DeepSeek-R1,feedback,37
DeepSeek-R1,imagining,37
DeepSeek-R1,judgments,37
DeepSeek-R1,knot,37
DeepSeek-R1,mattered,37
DeepSeek-R1,minus,37
DeepSeek-R1,mitigating,37
DeepSeek-R1,position,37
DeepSeek-R1,potentially,37
DeepSeek-R1,requirements,37
DeepSeek-R1,responds,37
DeepSeek-R1,revels,37
DeepSeek-R1,simple,37
DeepSeek-R1,stands,37
DeepSeek-R1,tastes,37
DeepSeek-R1,used,37
DeepSeek-R1,wallet,37
DeepSeek-R1,alleviate,36
DeepSeek-R1,ased,36
DeepSeek-R1,asserts,36
DeepSeek-R1,competition,36
DeepSeek-R1,decide,36
DeepSeek-R1,dragging,36
DeepSeek-R1,eliberately,36
DeepSeek-R1,equation,36
DeepSeek-R1,essential,36
DeepSeek-R1,eutral,36
DeepSeek-R1,firmly,36
DeepSeek-R1,inflexibility,36
DeepSeek-R1,mandatory,36
DeepSeek-R1,obliterates,36
DeepSeek-R1,ocus,36
DeepSeek-R1,optimism,36
DeepSeek-R1,optional,36
DeepSeek-R1,penalties,36
DeepSeek-R1,permitting,36
DeepSeek-R1,powerfully,36
DeepSeek-R1,proud,36
DeepSeek-R1,record,36
DeepSeek-R1,soften,36
DeepSeek-R1,stole,36
DeepSeek-R1,stopped,36
DeepSeek-R1,sway,36
DeepSeek-R1,truth,36
DeepSeek-R1,ules,36
DeepSeek-R1,vengeance,36
DeepSeek-R1,weighing,36
DeepSeek-R1,willingly,36
DeepSeek-R1,across,35
DeepSeek-R1,benefiting,35
DeepSeek-R1,changes,35
DeepSeek-R1,discourages,35
DeepSeek-R1,expensive,35
DeepSeek-R1,hand,35
DeepSeek-R1,independent,35
DeepSeek-R1,later,35
DeepSeek-R1,mistake,35
DeepSeek-R1,ognitive,35
DeepSeek-R1,ontradicting,35
DeepSeek-R1,peace,35
DeepSeek-R1,push,35
DeepSeek-R1,replay,35
DeepSeek-R1,scorched,35
DeepSeek-R1,shorted,35
DeepSeek-R1,unless,35
DeepSeek-R1,witnessed,35
DeepSeek-R1,according,34
DeepSeek-R1,alleviated,34
DeepSeek-R1,atisfied,34
DeepSeek-R1,damned,34
DeepSeek-R1,deterred,34
DeepSeek-R1,driver,34
DeepSeek-R1,echo,34
DeepSeek-R1,echoing,34
DeepSeek-R1,facing,34
DeepSeek-R1,gameplay,34
DeepSeek-R1,grab,34
DeepSeek-R1,guided,34
DeepSeek-R1,ight,34
DeepSeek-R1,inimal,34
DeepSeek-R1,involved,34
DeepSeek-R1,irrationality,34
DeepSeek-R1,isolation,34
DeepSeek-R1,louder,34
DeepSeek-R1,negatives,34
DeepSeek-R1,neurodiverse,34
DeepSeek-R1,nonexistent,34
DeepSeek-R1,obliterating,34
DeepSeek-R1,outlet,34
DeepSeek-R1,payment,34
DeepSeek-R1,plunging,34
DeepSeek-R1,primary,34
DeepSeek-R1,rivial,34
DeepSeek-R1,seething,34
DeepSeek-R1,sneaky,34
DeepSeek-R1,solidarity,34
DeepSeek-R1,statistically,34
DeepSeek-R1,tanding,34
DeepSeek-R1,temporary,34
DeepSeek-R1,ubclinical,34
DeepSeek-R1,uted,34
DeepSeek-R1,almer,33
DeepSeek-R1,ands,33
DeepSeek-R1,break,33
DeepSeek-R1,checked,33
DeepSeek-R1,colors,33
DeepSeek-R1,coping,33
DeepSeek-R1,ensuring,33
DeepSeek-R1,flattened,33
DeepSeek-R1,ideals,33
DeepSeek-R1,impartial,33
DeepSeek-R1,implied,33
DeepSeek-R1,ironically,33
DeepSeek-R1,lassic,33
